"participant","legend","stimulus_type","answer","label","total_rt"
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ConjGoodYes+<b>Item</b>_FillerConj13+<b>Group</b>_4+<b>Question</b>_Is Anna going to the lecture and panel discussion?+<b>Answer</b>_Yes%2C although she's not very interested in the topic.","F","CompNatural","Exp1ConjGoodYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ConjGoodYes+<b>Item</b>_FillerConj13+<b>Group</b>_4+<b>Question</b>_Is Anna going to the lecture and panel discussion?+<b>Answer</b>_Yes%2C although she's not very interested in the topic.","F","CompNatural","Exp1ConjGoodYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ConjGoodYes+<b>Item</b>_FillerConj13+<b>Group</b>_4+<b>Question</b>_Is Anna going to the lecture and panel discussion?+<b>Answer</b>_Yes%2C although she's not very interested in the topic.","F","CompNatural","Exp1ConjGoodYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_CogVerbYes+<b>Item</b>_Critical 18+<b>Group</b>_4+<b>Question</b>_Does Becky realize that Joel is going to the talk?+<b>Answer</b>_Yes%2C although he isn't.","C","CompUnnatural","Exp1CogVerbYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_CogVerbYes+<b>Item</b>_Critical 18+<b>Group</b>_4+<b>Question</b>_Does Becky realize that Joel is going to the talk?+<b>Answer</b>_Yes%2C although he isn't.","C","CompUnnatural","Exp1CogVerbYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_CogVerbYes+<b>Item</b>_Critical 18+<b>Group</b>_4+<b>Question</b>_Does Becky realize that Joel is going to the talk?+<b>Answer</b>_Yes%2C although he isn't.","C","CompUnnatural","Exp1CogVerbYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ThinkBadYes+<b>Item</b>_FillerThink12+<b>Group</b>_4+<b>Question</b>_Does Robbie think that Katie is going to the museum fundraiser?+<b>Answer</b>_Yes%2C although he thinks that only Joanna is.","F","Natural","Exp1ThinkBadYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ThinkBadYes+<b>Item</b>_FillerThink12+<b>Group</b>_4+<b>Question</b>_Does Robbie think that Katie is going to the museum fundraiser?+<b>Answer</b>_Yes%2C although he thinks that only Joanna is.","F","Natural","Exp1ThinkBadYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_ThinkBadYes+<b>Item</b>_FillerThink12+<b>Group</b>_4+<b>Question</b>_Does Robbie think that Katie is going to the museum fundraiser?+<b>Answer</b>_Yes%2C although he thinks that only Joanna is.","F","Natural","Exp1ThinkBadYes",610500
13,"<p style='display:none;'><b>Block</b>_1+<b>Cond</b>_CogAdjYes+<b>Item</b>_Critical 5+<b>Group</b>_4+<b>Question</b>_Is Maggie aware that Martin is coming to the party?+<b>Answer</b>_Yes%2C although he isn't.","C","CompUnnatural","Exp1CogAdjYes",610500
